Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending)
007-000000049,13,7,Department of Defense,,N,01/04/2015,30/11/2015,N
007-000000049,13,7,Department of Defense,,N,09/07/2015,08/01/2016,N
007-000000049,13,7,Department of Defense,,N,01/05/2015,30/04/2016,N
007-000000186,16,7,Department of Defense,,,,,
007-000000186,16,7,Department of Defense,,,,,
007-000000186,16,7,Department of Defense,,,,,
007-000000186,16,7,Department of Defense,,,,,
007-000000186,16,7,Department of Defense,,,,,
007-000000186,16,7,Department of Defense,,,,,
007-000000186,16,7,Department of Defense,,,,,
007-000000186,16,7,Department of Defense,,,,16/11/2015,
007-000000186,16,7,Department of Defense,,,,,
007-000000186,16,7,Department of Defense,,,,16/11/2015,
007-000000510,25,7,Department of Defense,,,,30/09/2012,
007-000000510,25,7,Department of Defense,,,,23/08/2013,
007-000000510,25,7,Department of Defense,,,,03/08/2015,
007-000000510,25,7,Department of Defense,,,,28/06/2014,
007-000000510,25,7,Department of Defense,Time and Materials,,05/03/2014,08/12/2014,U
007-000000510,25,7,Department of Defense,,,,03/08/2015,
007-000000510,25,7,Department of Defense,,,,,
007-000000510,25,7,Department of Defense,,,,,
007-000000510,25,7,Department of Defense,,,,22/04/2014,
007-000000510,25,7,Department of Defense,Firm Fixed Price,Y,30/09/2013,30/09/2014,U
007-000000510,25,7,Department of Defense,,,,,
007-000000510,25,7,Department of Defense,,,,,
007-000000510,25,7,Department of Defense,,,,,
007-000000594,26,7,Department of Defense,Firm Fixed Price,,22/08/2013,31/08/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,02/09/2014,13/09/2015,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,25/06/2013,02/05/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,Y,07/03/2014,16/06/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,12/12/2013,29/09/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,29/05/2014,26/12/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,29/09/2014,30/09/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,N,27/03/2014,31/03/2015,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,29/09/2014,12/06/2015,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,N,11/09/2014,10/09/2015,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,N,20/03/2014,30/09/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,20/05/2014,30/09/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,07/08/2014,06/08/2015,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,04/09/2014,30/09/2014,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,N,29/09/2014,28/09/2015,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,26/09/2014,24/09/2015,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,,22/07/2014,21/07/2015,U
007-000000594,26,7,Department of Defense,Firm Fixed Price,N,08/05/2014,07/05/2015,U
007-000000594,26,7,Department of Defense,,,,,
007-000000594,26,7,Department of Defense,,N,30/12/2014,31/12/2015,N
007-000000594,26,7,Department of Defense,Firm Fixed Price,,22/12/2014,22/12/2015,U
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,Firm Fixed Price,N,16/02/2013,01/01/1970,U
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000595,27,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,30/09/2012,
007-000000613,28,7,Department of Defense,,,,01/02/2013,
007-000000613,28,7,Department of Defense,,,,29/09/2013,
007-000000613,28,7,Department of Defense,,,,30/09/2014,
007-000000613,28,7,Department of Defense,,,,30/09/2014,
007-000000613,28,7,Department of Defense,,,,30/09/2014,
007-000000613,28,7,Department of Defense,,,,29/09/2014,
007-000000613,28,7,Department of Defense,,,,08/10/2014,
007-000000613,28,7,Department of Defense,,,,30/09/2012,
007-000000613,28,7,Department of Defense,,,,30/09/2014,
007-000000613,28,7,Department of Defense,,,,29/09/2014,
007-000000613,28,7,Department of Defense,,,,30/09/2016,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000613,28,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,Firm Fixed Price,Y,10/02/2012,27/09/2013,U
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,Order Dependent (IDV only),N,02/10/2013,01/01/1970,U
007-000000881,31,7,Department of Defense,Firm Fixed Price,,16/09/2011,21/09/2012,U
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,Firm Fixed Price,,09/08/2012,15/09/2013,U
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,Firm Fixed Price,,15/02/2013,31/12/2013,U
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,Firm Fixed Price,,14/09/2013,21/09/2014,U
007-000000881,31,7,Department of Defense,Firm Fixed Price,,24/04/2013,08/05/2014,U
007-000000881,31,7,Department of Defense,Order Dependent (IDV only),N,02/10/2013,01/01/1970,U
007-000000881,31,7,Department of Defense,,,,,
007-000000881,31,7,Department of Defense,Firm Fixed Price,,08/02/2013,01/01/1970,U
007-000000881,31,7,Department of Defense,Firm Fixed Price,,06/09/2012,05/09/2013,U
007-000000881,31,7,Department of Defense,Order Dependent (IDV only),N,02/10/2013,01/01/1970,U
007-000000881,31,7,Department of Defense,Firm Fixed Price,Y,28/05/2013,27/05/2028,U
026-000002411,32,26,National Aeronautics and Space Administration,,,,,
007-000000884,33,7,Department of Defense,,,,,
007-000000884,33,7,Department of Defense,Cost No Fee,Y,25/08/2010,01/10/2010,U
007-000000884,33,7,Department of Defense,Cost No Fee,Y,25/08/2010,01/10/2010,U
007-000000884,33,7,Department of Defense,Cost No Fee,Y,27/09/2010,01/10/2010,U
007-000000884,33,7,Department of Defense,,,,,
007-000000884,33,7,Department of Defense,Firm Fixed Price,N,26/05/2009,01/01/1970,U
007-000000884,33,7,Department of Defense,,,,,
007-000000884,33,7,Department of Defense,Firm Fixed Price,Y,13/09/2013,30/09/2013,U
007-000000884,33,7,Department of Defense,,,,,
007-000000884,33,7,Department of Defense,,,,,
007-000000884,33,7,Department of Defense,Firm Fixed Price,Y,13/09/2013,30/09/2013,U
007-000000884,33,7,Department of Defense,,,,,
007-000000884,33,7,Department of Defense,Firm Fixed Price,Y,05/11/2014,30/09/2015,U
007-000000884,33,7,Department of Defense,Firm Fixed Price,N,27/07/2013,01/01/1970,U
007-000000884,33,7,Department of Defense,Firm Fixed Price,Y,28/08/2014,30/09/2014,U
007-000000884,33,7,Department of Defense,Firm Fixed Price,Y,08/11/2013,30/09/2014,U
007-000000884,33,7,Department of Defense,Firm Fixed Price,Y,24/06/2014,01/01/1970,U
007-000000884,33,7,Department of Defense,,,,,
007-000000884,33,7,Department of Defense,Cost Plus Fixed Fee,Y,02/10/2014,02/04/2015,U
007-000000884,33,7,Department of Defense,,,,,
007-000000884,33,7,Department of Defense,Firm Fixed Price,N,03/10/2013,01/01/1970,U
026-000001501,37,26,National Aeronautics and Space Administration,,,,,
026-000001501,37,26,National Aeronautics and Space Administration,,,,31/05/2018,
026-000001501,37,26,National Aeronautics and Space Administration,,,,31/07/2018,
026-000001501,37,26,National Aeronautics and Space Administration,,,,30/09/2019,
026-000005020,39,26,National Aeronautics and Space Administration,,,,30/09/2016,
026-000005030,40,26,National Aeronautics and Space Administration,,,,30/09/2016,
026-000001408,41,26,National Aeronautics and Space Administration,,,,,
026-000001001,42,26,National Aeronautics and Space Administration,,,,31/03/2017,
026-000001502,43,26,National Aeronautics and Space Administration,,,,,
026-000001502,43,26,National Aeronautics and Space Administration,,,,30/09/2017,
026-000001502,43,26,National Aeronautics and Space Administration,,,,28/02/2018,
026-000001502,43,26,National Aeronautics and Space Administration,,,,30/04/2017,
026-000001502,43,26,National Aeronautics and Space Administration,,,,31/12/2019,
026-000001124,45,26,National Aeronautics and Space Administration,,,,31/07/2017,
026-000001124,45,26,National Aeronautics and Space Administration,Firm Fixed Price,,28/03/2014,01/01/1970,U
007-000001826,49,7,Department of Defense,,,,,
007-000001826,49,7,Department of Defense,,,,,
007-000001826,49,7,Department of Defense,,,,,
007-000001826,49,7,Department of Defense,Firm Fixed Price,Y,30/03/2012,31/01/2013,U
007-000001826,49,7,Department of Defense,Firm Fixed Price,Y,30/03/2012,31/01/2013,U
007-000001826,49,7,Department of Defense,Cost Plus Incentive,Y,22/10/2012,01/01/1970,U
007-000001826,49,7,Department of Defense,Cost Plus Incentive,Y,13/11/2012,01/01/1970,U
007-000001826,49,7,Department of Defense,Cost Plus Incentive,,27/08/2013,01/01/1970,U
007-000001826,49,7,Department of Defense,Cost Plus Incentive,Y,15/05/2014,01/01/1970,U
007-000001826,49,7,Department of Defense,Cost Plus Incentive,Y,04/06/2014,01/01/1970,U
007-000001826,49,7,Department of Defense,,,,,
007-000001826,49,7,Department of Defense,,,,,
007-000001911,50,7,Department of Defense,,,,,
007-000001911,50,7,Department of Defense,,,,,
007-000001911,50,7,Department of Defense,,,,,
007-000001911,50,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,Firm Fixed Price,Y,01/03/2013,28/02/2014,U
007-000001794,52,7,Department of Defense,Firm Fixed Price,Y,23/04/2012,06/07/2012,U
007-000001794,52,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,Firm Fixed Price,Y,21/09/2012,20/09/2013,U
007-000001794,52,7,Department of Defense,Firm Fixed Price,Y,27/09/2012,26/09/2013,U
007-000001794,52,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,Firm Fixed Price,,29/09/2012,28/09/2013,U
007-000001794,52,7,Department of Defense,Firm Fixed Price,Y,29/09/2012,28/09/2013,U
007-000001794,52,7,Department of Defense,,,,,
007-000001794,52,7,Department of Defense,Firm Fixed Price,,30/09/2013,29/06/2014,U
007-000001794,52,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,01/01/1970,
007-000002180,53,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,03/11/2014,
007-000002180,53,7,Department of Defense,,,,19/12/2014,
007-000002180,53,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,05/06/2015,
007-000002180,53,7,Department of Defense,,,,,
007-000002180,53,7,Department of Defense,,,,14/04/2016,
007-000002180,53,7,Department of Defense,Firm Fixed Price,N,09/02/2007,,N
007-000002180,53,7,Department of Defense,Firm Fixed Price,N,10/12/2014,12/12/2015,N
007-000002166,55,7,Department of Defense,Time and Materials,N,26/03/2013,01/01/1970,U
007-000002166,55,7,Department of Defense,,,,,
007-000002166,55,7,Department of Defense,Firm Fixed Price,,16/08/2012,01/01/1970,U
007-000002166,55,7,Department of Defense,Time and Materials,N,24/02/2014,01/01/1970,U
007-000002166,55,7,Department of Defense,Order Dependent (IDV only),N,14/06/2012,01/01/1970,U
007-000002166,55,7,Department of Defense,,,,,
007-000004035,58,7,Department of Defense,,,,,
007-000004035,58,7,Department of Defense,,,,,
007-000004035,58,7,Department of Defense,,,,31/01/2012,
007-000004035,58,7,Department of Defense,,,,23/09/2012,
007-000004035,58,7,Department of Defense,,,,12/09/2015,
007-000004035,58,7,Department of Defense,,,,24/03/2012,
007-000004035,58,7,Department of Defense,,,,06/05/2013,
007-000004035,58,7,Department of Defense,,,,15/11/2012,
007-000004035,58,7,Department of Defense,,,,16/12/2014,
007-000004035,58,7,Department of Defense,,,,31/07/2012,
007-000004035,58,7,Department of Defense,,,,,
007-000006046,60,7,Department of Defense,,,,,
007-000006046,60,7,Department of Defense,,,,,
007-000006046,60,7,Department of Defense,,,,,
007-000006046,60,7,Department of Defense,,,,,
007-000006046,60,7,Department of Defense,,,,,
007-000005069,62,7,Department of Defense,Fixed Price Incentive,Y,16/07/2013,01/01/1970,U
007-000005069,62,7,Department of Defense,Fixed Price Incentive,Y,31/12/2012,01/01/1970,U
007-000005069,62,7,Department of Defense,Fixed Price Incentive,Y,31/12/2012,01/01/1970,U
007-000005069,62,7,Department of Defense,Fixed Price Incentive,Y,31/12/2012,01/01/1970,U
007-000005069,62,7,Department of Defense,Fixed Price Incentive,Y,31/12/2012,01/01/1970,U
007-000005069,62,7,Department of Defense,Fixed Price Incentive,Y,31/12/2012,01/01/1970,U
007-000006170,65,7,Department of Defense,,,,06/07/2012,
007-000006170,65,7,Department of Defense,,,,,
007-000006170,65,7,Department of Defense,,,,12/06/2012,
007-000006170,65,7,Department of Defense,,,,28/02/2014,
007-000006170,65,7,Department of Defense,,,,30/06/2012,
007-000006191,66,7,Department of Defense,,,,30/06/2012,
007-000006191,66,7,Department of Defense,,,,,
007-000006191,66,7,Department of Defense,,,,,
007-000006312,69,7,Department of Defense,,,,,
007-000006312,69,7,Department of Defense,Cost Plus Fixed Fee,Y,04/09/2013,23/09/2013,U
007-000006312,69,7,Department of Defense,,,,,
007-000006312,69,7,Department of Defense,Order Dependent (IDV only),Y,09/07/2013,01/01/1970,U
007-000006312,69,7,Department of Defense,,,,,
007-000006388,75,7,Department of Defense,,,,,
007-000006388,75,7,Department of Defense,,,,,
007-000006388,75,7,Department of Defense,,,,,
007-000006388,75,7,Department of Defense,,,,,
007-000006388,75,7,Department of Defense,,,,,
007-000006388,75,7,Department of Defense,,,,,
007-000006963,79,7,Department of Defense,,,,,
007-000006963,79,7,Department of Defense,Fixed Price Incentive,,19/07/2012,30/09/2012,U
007-000006963,79,7,Department of Defense,Fixed Price Incentive,,19/07/2012,30/09/2012,U
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,,,,28/06/2008,
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,Firm Fixed Price,Y,01/07/2013,17/01/2014,U
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,Firm Fixed Price,Y,01/07/2014,31/12/2014,U
007-000006965,80,7,Department of Defense,Firm Fixed Price,Y,20/03/2014,29/05/2014,U
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,,,,,
007-000006965,80,7,Department of Defense,,,,,
007-000006320,84,7,Department of Defense,Firm Fixed Price,N,29/09/2011,30/04/2014,U
007-000006320,84,7,Department of Defense,Labor Hours,N,10/09/2004,30/04/2014,U
007-000006320,84,7,Department of Defense,,,,,
007-000006320,84,7,Department of Defense,,,,,
007-000006320,84,7,Department of Defense,,,,,
007-000006320,84,7,Department of Defense,Cost Plus Award Fee,N,13/09/2005,31/12/2015,N
007-000006320,84,7,Department of Defense,Cost Plus Fixed Fee,N,13/09/2005,31/12/2015,N
007-000006320,84,7,Department of Defense,Firm Fixed Price,N,11/02/2000,31/12/2015,N
012-000003535,101,12,Department of Labor,,,,,
012-000001025,105,12,Department of Labor,,,,30/06/2016,
012-000001025,105,12,Department of Labor,,,,21/08/2014,
012-000002575,115,12,Department of Labor,,,,,
012-000001010,122,12,Department of Labor,,,,,
012-000001010,122,12,Department of Labor,,,,,
012-000002085,123,12,Department of Labor,,,,,
012-000001015,125,12,Department of Labor,,,,,
012-000000001,126,12,Department of Labor,,,,,
012-000000001,126,12,Department of Labor,,,,,
012-999990020,130,12,Department of Labor,,,,,
012-999990020,130,12,Department of Labor,,,,,
012-000002630,131,12,Department of Labor,,,,,
012-000002630,131,12,Department of Labor,,,,11/09/2016,
012-000002630,131,12,Department of Labor,,,,,
012-000002015,132,12,Department of Labor,,,,,
024-000009102,134,24,Department of Homeland Security,,,,,
024-000009102,134,24,Department of Homeland Security,Firm Fixed Price,N,28/05/2014,26/09/2015,U
024-000009102,134,24,Department of Homeland Security,Firm Fixed Price,N,27/06/2013,26/09/2015,N
024-000009102,134,24,Department of Homeland Security,Labor Hours,N,27/09/2013,26/03/2016,N
024-000009102,134,24,Department of Homeland Security,Firm Fixed Price,N,24/09/2014,16/09/2018,U
024-000009102,134,24,Department of Homeland Security,Firm Fixed Price,N,26/09/2013,16/09/2018,N
024-000009102,134,24,Department of Homeland Security,Firm Fixed Price,N,25/11/2014,27/11/2019,N
024-000009104,135,24,Department of Homeland Security,Time and Materials,N,30/09/2013,29/09/2018,N
024-000009104,135,24,Department of Homeland Security,Time and Materials,N,23/09/2014,29/09/2018,N
024-000005352,137,24,Department of Homeland Security,Firm Fixed Price,Y,25/11/2014,17/11/2018,U
024-000005439,138,24,Department of Homeland Security,,,,26/11/2015,
024-000005439,138,24,Department of Homeland Security,,,,22/05/2016,
024-000005439,138,24,Department of Homeland Security,,,,28/05/2016,
024-000005439,138,24,Department of Homeland Security,,,,05/09/2016,
024-000005439,138,24,Department of Homeland Security,,,,31/12/2014,
024-000005439,138,24,Department of Homeland Security,,,,,
024-000005439,138,24,Department of Homeland Security,,,,24/02/2018,
024-000005439,138,24,Department of Homeland Security,,,,31/12/2017,
024-000005439,138,24,Department of Homeland Security,,,,09/09/2018,
024-000005439,138,24,Department of Homeland Security,,,,15/03/2018,
024-000005439,138,24,Department of Homeland Security,,,,31/10/2014,
024-000005439,138,24,Department of Homeland Security,,,,26/02/2017,
024-000005439,138,24,Department of Homeland Security,,,,31/03/2016,
